Token ID,Token Name,Symbol,Listed Date,1st Day Price,2nd Day Price,Price Change 1 Day (%),31st Day Price,Price Change 30 Days (%),1st Day Volume,2nd Day Volume,31st Day Volume,Volume Change 1 Day (%),Volume Change 30 Days (%)
fc-barcelona-fan-token,FC Barcelona Fan Token,bar,2020-06-25,6.261206440613589,6.261206440613589,0.0,4.055994843899642,-35.22023459264568,311876.95401340345,311876.95401340345,148372.34738469278,0.0,-52.425998306269136
the-sandbox,The Sandbox,sand,2020-08-14,0.08091994568370936,0.06640343292744963,-17.939350593486825,0.04927385269111136,-39.10790192110686,38413022.85830442,141056015.71059108,6050310.781794421,267.2088401657682,-84.24932397506846
wink,WINkLink,win,2019-08-02,0.00045973103383522337,0.00037946833102028377,-17.45862186969682,0.0003111148511879654,-32.32676754654873,51383871.2066066,13095698.945063615,18042266.82967065,-74.51398923913725,-64.88729555403584
harmony,Harmony,one,2019-06-02,0.02341939310844748,0.020503276801087558,-12.451715951204845,0.019415769035337357,-17.095336563892417,647079108.3489987,106395567.43338233,16764704.028112398,-83.55756412769264,-97.40917241620008
perlin,PERL.eco,perl,2019-08-27,0.11488031670795232,0.112058572145475,-2.4562471999887703,0.03624634329529944,-68.44860430926165,61873985.387319095,30628170.35927647,3645707.819251828,-50.499114987421464,-94.10785034060694
arkham,Arkham,arkm,2023-07-18,0.6468294572281927,0.6468294572281927,0.0,0.3793711690078849,-41.3491199622271,172279576.75118637,172279576.75118637,16717363.372470042,0.0,-90.29637541040981
hooked-protocol,Hooked Protocol,hook,2022-12-01,2.556925328751827,2.556925328751827,0.0,1.1726789946741534,-54.13714348683772,422162435.40140706,422162435.40140706,14193134.694880867,0.0,-96.63799203702585
space-id,SPACE ID,id,2023-03-22,0.44120581012564486,0.44120581012564486,0.0,0.7419650433771929,68.16755952644844,364631088.02418923,364631088.02418923,226222885.67370272,0.0,-37.95842068773485
matic-network,Polygon,matic,2019-04-27,0.005470458299220707,0.005207030741745718,-4.8154568240199485,0.024397479508656287,345.98602482961655,43158348.3665803,9750768.053556936,95178261.24083906,-77.40699442264234,120.53267755385289
axie-infinity,Axie Infinity,axs,2020-11-04,0.14569963826503426,0.14569963826503426,0.0,0.5120459436153283,251.4394062419657,18855236.284391005,18855236.284391005,8957752.445796711,0.0,-52.4919639791932
bread,Bread,brd,2018-01-11,2.555834874575401,2.781246849867488,8.819504637580877,0.8156618115103479,-68.08628680889045,25571128.35062031,21172842.9371541,6008894.196596333,-17.200200762198737,-76.50125518825388
alpha-finance,Stella,alpha,2020-10-10,0.05165201707420418,0.05165201707420418,0.0,0.04912082448576318,-4.90047191149311,49250988.45425818,49250988.45425818,10118598.038583962,0.0,-79.45503561216523
ac-milan-fan-token,AC Milan Fan Token,acm,2021-02-11,6.5563750237023,6.5563750237023,0.0,12.867693275562191,96.2623130776307,1554903.3442462136,1554903.3442462136,19836103.74223189,0.0,1175.7129769920227
edu-coin,Open Campus,edu,2023-04-28,1.3985661096136326,1.3985661096136326,0.0,1.17576601377787,-15.930608807424429,497432240.71342963,497432240.71342963,42012218.77987047,0.0,-91.55418259186105
tokocrypto,Tokocrypto,tko,2021-04-07,2.9473870534211883,2.9473870534211883,0.0,3.667248992054855,24.4237328042167,1317812250.7456691,1317812250.7456691,109749429.85931467,0.0,-91.67184628939258
linear,Linear,lina,2020-09-17,0.012188963262371547,0.012188963262371547,0.0,0.008185565844912618,-32.84444567831118,2514351.993824898,2514351.993824898,1683578.0057658562,0.0,-33.041276245305916
stepn,GMT,gmt,2022-03-09,0.13573810770613645,0.13573810770613645,0.0,2.1961799749359563,1517.9538760703317,325461517.9504355,325461517.9504355,1180151222.79571,0.0,262.6085290290556
elrond-erd-2,MultiversX,egld,2020-09-03,17.59069080196593,17.59069080196593,0.0,9.420531408966228,-46.44592691087838,47140114.426884204,47140114.426884204,5777801.0733871125,0.0,-87.74334525142346
alpine-f1-team-fan-token,Alpine F1 Team Fan Token,alpine,2022-02-21,5.334102306725268,5.334102306725268,0.0,8.849212617322795,65.89881686681665,436533628.4856038,436533628.4856038,39112766.75829282,0.0,-91.04014806511461
kava,Kava,kava,2019-10-26,1.2851150600012171,0.9628443684494123,-25.077185816459078,1.1962473338182873,-6.915157167549313,118967187.44247508,45028376.9009761,10629983.272784265,-62.150591378190775,-91.06477718663035
league-of-kingdoms,League of Kingdoms,loka,2022-01-20,2.3614512674646506,2.3614512674646506,0.0,1.8810633170001154,-20.342911881484603,336890502.1463907,336890502.1463907,12366641.786493834,0.0,-96.3291806365262
troy,TROY,troy,2019-12-06,0.009532969661712187,0.00920307941256718,-3.460519238511428,0.006391719263418503,-32.951436013796084,62282679.231722996,24926423.73159951,984232.3950460235,-59.97856219566175,-98.4197333718028
coin98,Coin98,c98,2021-07-23,0.742326369942498,0.742326369942498,0.0,2.776318027433374,274.002344500901,382760900.63399535,382760900.63399535,863988988.6357518,0.0,125.72550832769558
fetch-ai,Artificial Superintelligence Alliance,fet,2019-03-01,0.35459835411206647,0.4398964080415009,24.05483639173265,0.21099344535726422,-40.49790617736981,140739360.81392708,119059415.52718568,30601878.583673205,-15.404322686533067,-78.25634676277076
celer-network,Celer Network,celr,2019-03-26,0.024238285505815783,0.018246240111912934,-24.721407759905734,0.01432030928313317,-40.918637666442514,224762169.0136091,121477149.9967051,24603929.19543467,-45.95302646801305,-89.05334945671176
injective-protocol,Injective,inj,2020-10-21,0.7679148564020464,0.7679148564020464,0.0,1.299749316152544,69.25695672073995,49320208.30497628,49320208.30497628,7570327.167849103,0.0,-84.65065856770666
