timestamp,open,high,low,close,volume
2024-11-21,0.2738,0.3398,0.2477,0.311,1008862.0
2024-11-22,0.311,0.3293,0.2303,0.2583,317537.0
2024-11-23,0.2583,0.2661,0.2108,0.232,238639.0
2024-11-24,0.232,0.2348,0.1929,0.2242,413018.0
2024-11-25,0.2242,0.295,0.206,0.2525,1748440.0
2024-11-26,0.2525,0.2745,0.2038,0.2136,507098.0
2024-11-27,0.2136,0.2299,0.1975,0.2108,447947.0
2024-11-28,0.2108,0.214,0.1513,0.1901,509586.0
2024-11-29,0.1901,0.303,0.1799,0.266,1003608.0
2024-11-30,0.266,0.2993,0.2321,0.2722,483700.0
2024-12-01,0.2722,0.3405,0.25,0.3254,489092.0
2024-12-02,0.3254,0.3633,0.254,0.2809,623895.0
2024-12-03,0.2809,0.3327,0.2597,0.2958,553114.0
2024-12-04,0.2958,0.3115,0.2625,0.3013,311361.0
2024-12-05,0.3013,0.3237,0.2746,0.2834,440220.0
2024-12-06,0.2834,0.3026,0.2496,0.2728,316523.0
2024-12-07,0.2728,0.2833,0.2602,0.2738,198542.0
2024-12-08,0.2738,0.2751,0.217,0.2463,244901.0
2024-12-09,0.2463,0.2505,0.1993,0.2066,534018.0
2024-12-10,0.2066,0.2438,0.1824,0.1921,1402976.0
2024-12-11,0.1921,0.2338,0.1847,0.226,260067.0
2024-12-12,0.226,0.23,0.1956,0.1993,224655.0
2024-12-13,0.1993,0.2079,0.1624,0.1687,348256.0
2024-12-14,0.1687,0.1846,0.1498,0.1642,1176466.0
2024-12-15,0.1642,0.1743,0.1524,0.1704,1111815.0
2024-12-16,0.1704,0.1892,0.1522,0.1576,372882.0
2024-12-17,0.1576,0.175,0.1355,0.1439,573192.0
2024-12-18,0.1439,0.1483,0.1301,0.1315,122119.0
