date,price,market_cap,volume,id,symbol,name
2024-11-19 00:00:00,0.2890414755324798,289087687.5176714,23350846.019335497,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-11-20 00:00:00,0.2239063890508507,223935266.355465,29254239.10620381,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-11-21 00:00:00,0.23049569549344726,230491935.021805,25333966.463846553,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-11-22 00:00:00,0.314444043183829,307844837.63972074,23413259.131126165,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-11-23 00:00:00,0.2581137064490421,252616304.66621646,13468322.669198679,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-11-24 00:00:00,0.23116954879502374,226462249.06846216,14493935.688322555,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-11-25 00:00:00,0.22690539275748933,222369371.38038686,12304715.472724738,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-11-26 00:00:00,0.24281865684404463,238265395.17939132,20183572.87368502,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-11-27 00:00:00,0.21114777880365337,206646339.0438605,10442532.332023742,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-11-28 00:00:00,0.21272061179302493,208422709.22683525,11356319.585331155,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-11-29 00:00:00,0.1893831349768913,185380657.07680055,24446740.920765378,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-11-30 00:00:00,0.26899493938989244,263447721.06128532,30193273.46823244,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-12-01 00:00:00,0.27131807626965626,264506263.44593012,19155820.279017497,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-12-02 00:00:00,0.3348096796014571,328152310.6367231,17165936.836208094,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-12-03 00:00:00,0.28096639580480054,275561476.84838384,20726550.995620128,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-12-04 00:00:00,0.29975301459280856,293558233.8345985,18346423.428125706,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-12-05 00:00:00,0.3002158023974651,293951409.69148093,14020903.496195138,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-12-06 00:00:00,0.2833322030510985,278462587.3206254,12339924.668150466,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-12-07 00:00:00,0.27113758055862897,265547029.5375076,18295344.27557617,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-12-08 00:00:00,0.27315674362181663,267566674.58097583,10431002.025044123,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-12-09 00:00:00,0.24368846355448703,239596082.257905,15220344.027271513,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-12-10 00:00:00,0.20711439642055315,202532752.93367016,14512592.369358944,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-12-11 00:00:00,0.1983805810677699,194201723.3865878,10772181.331508897,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-12-12 00:00:00,0.2273485023837727,222437962.1565135,10760709.459944624,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-12-13 00:00:00,0.19927355038842187,194882169.2266028,10733840.653219912,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-12-14 00:00:00,0.1696461870368506,167726902.00427416,14387584.813516095,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-12-15 00:00:00,0.1642384080357733,160958560.02093375,13797037.463637214,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-12-16 00:00:00,0.17119164967780628,167699765.4902371,8541596.469065446,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-12-17 00:00:00,0.15726556682380208,153328491.92797238,10481117.81671505,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-12-18 00:00:00,0.1430281436990747,139141630.19171214,7675727.805161413,department-of-government-efficiency,doge,Department Of Government Efficiency
2024-12-18 09:50:50,0.13121433598275173,128113034.3445777,10033763.659850026,department-of-government-efficiency,doge,Department Of Government Efficiency
